sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
unclassified-kra_SRR26417155_.hist	histogram	genome-skim	1.93	870731037	0.46	30.56	0.0071	151
unclassified-kra_SRR26417608_.hist	histogram	genome-skim	2.45	1013057767	0.44	27.69	0.0067	153
unclassified-kra_SRR26416959_.hist	histogram	genome-skim	2.14	891411735	0.51	30.91	0.0075	153
unclassified-kra_SRR26417457_.hist	histogram	genome-skim	2.40	940871121	0.50	29.23	0.0076	152
unclassified-kra_SRR26417184_.hist	histogram	genome-skim	3.76	1085082601	0.43	30.93	0.0083	154
unclassified-kra_SRR26417632_.hist	histogram	genome-skim	1.55	927182120	0.51	27.32	0.0062	155
unclassified-kra_SRR26417124_.hist	histogram	genome-skim	1.74	951039499	0.49	29.71	0.0068	153
unclassified-kra_SRR26417448_.hist	histogram	genome-skim	2.02	890625936	0.53	28.27	0.0057	152
unclassified-kra_SRR26417407_.hist	histogram	genome-skim	1.99	912430798	0.51	29.20	0.0055	154
unclassified-kra_SRR26417032_.hist	histogram	genome-skim	2.09	905495541	0.50	32.02	0.0078	149
unclassified-kra_SRR26417018_.hist	histogram	genome-skim	1.58	913920173	0.53	29.83	0.0078	153
unclassified-kra_SRR26417227_.hist	histogram	genome-skim	1.59	980086269	0.50	27.29	0.0054	156
unclassified-kra_SRR26417369_.hist	histogram	genome-skim	1.29	940034015	0.51	29.98	0.0062	153
unclassified-kra_SRR26417229_.hist	histogram	genome-skim	2.16	932031241	0.50	27.99	0.0064	153
unclassified-kra_SRR26417358_.hist	histogram	genome-skim	1.65	980428707	0.50	28.47	0.0049	155
unclassified-kra_SRR26417319_.hist	histogram	genome-skim	1.44	1001574088	0.50	26.79	0.0047	156
unclassified-kra_SRR26417256_.hist	histogram	genome-skim	1.84	891409014	0.53	27.39	0.0053	156
unclassified-kra_SRR26417287_.hist	histogram	genome-skim	1.95	934499356	0.52	26.19	0.0059	155
unclassified-kra_SRR26417460_.hist	histogram	genome-skim	2.26	981982035	0.47	27.12	0.0055	152
unclassified-kra_SRR26417143_.hist	histogram	genome-skim	1.38	935118155	0.52	27.41	0.0050	155
unclassified-kra_SRR26416994_.hist	histogram	genome-skim	2.39	981441093	0.48	27.03	0.0056	153
unclassified-kra_SRR26416960_.hist	histogram	genome-skim	1.15	950165122	0.53	28.67	0.0061	150
unclassified-kra_SRR26417291_.hist	histogram	genome-skim	3.54	1077589167	0.44	28.86	0.0064	153
unclassified-kra_SRR26417373_.hist	histogram	genome-skim	2.30	994745709	0.48	28.34	0.0066	155
unclassified-kra_SRR26417022_.hist	histogram	genome-skim	1.14	933748202	0.45	29.24	0.0062	145
unclassified-kra_SRR26417259_.hist	histogram	genome-skim	2.76	997669801	0.48	27.98	0.0070	153
unclassified-kra_SRR26417662_.hist	histogram	genome-skim	1.77	946396017	0.49	30.70	0.0087	151
unclassified-kra_SRR26417353_.hist	histogram	genome-skim	2.14	970906396	0.50	31.51	0.0064	154
unclassified-kra_SRR26416933_.hist	histogram	genome-skim	2.78	995579907	0.47	29.48	0.0075	150
unclassified-kra_SRR26417449_.hist	histogram	genome-skim	1.45	943821875	0.52	26.51	0.0052	152
unclassified-kra_SRR26417154_.hist	histogram	genome-skim	1.98	933248505	0.49	28.36	0.0050	154
unclassified-kra_SRR26417107_.hist	histogram	genome-skim	2.03	890793824	0.52	29.44	0.0064	152
unclassified-kra_SRR26417082_.hist	histogram	genome-skim	1.30	940451411	0.53	27.76	0.0057	150
unclassified-kra_SRR26417192_.hist	histogram	genome-skim	1.42	965943329	0.52	25.24	0.0050	153
unclassified-kra_SRR26416972_.hist	histogram	genome-skim	2.11	920998769	0.49	32.60	0.0067	153
unclassified-kra_SRR26417045_.hist	histogram	genome-skim	2.97	1035015960	0.43	30.21	0.0075	153
unclassified-kra_SRR26417100_.hist	histogram	genome-skim	1.29	923878302	0.52	27.90	0.0059	154
unclassified-kra_SRR26417195_.hist	histogram	genome-skim	2.43	1010815902	0.47	29.34	0.0064	154
unclassified-kra_SRR26416951_.hist	histogram	genome-skim	1.27	940946905	0.53	29.23	0.0056	150
unclassified-kra_SRR26417296_.hist	histogram	genome-skim	2.69	966081399	0.49	28.78	0.0068	153
unclassified-kra_SRR26417094_.hist	histogram	genome-skim	1.57	969590098	0.50	27.37	0.0053	152
unclassified-kra_SRR26417359_.hist	histogram	genome-skim	1.39	920382169	0.52	28.36	0.0062	153
unclassified-kra_SRR26417382_.hist	histogram	genome-skim	2.57	964118247	0.49	28.37	0.0079	153
unclassified-kra_SRR26416934_.hist	histogram	genome-skim	2.33	931860471	0.50	30.04	0.0076	151
unclassified-kra_SRR26417243_.hist	histogram	genome-skim	2.41	935282862	0.50	29.46	0.0070	151
unclassified-kra_SRR26417052_.hist	histogram	genome-skim	1.36	935366672	0.52	28.98	0.0063	151
unclassified-kra_SRR26417673_.hist	histogram	genome-skim	0.97	829359689	0.53	29.16	0.0078	152
unclassified-kra_SRR26417320_.hist	histogram	genome-skim	1.06	974738167	0.52	26.28	0.0051	154
unclassified-kra_SRR26417328_.hist	histogram	genome-skim	2.07	865705113	0.54	30.07	0.0088	152
unclassified-kra_SRR26417187_.hist	histogram	genome-skim	2.05	936275147	0.50	29.16	0.0058	154
unclassified-kra_SRR26417119_.hist	histogram	genome-skim	1.76	960686100	0.51	28.94	0.0067	150
unclassified-kra_SRR26416978_.hist	histogram	genome-skim	1.63	949863867	0.49	29.71	0.0057	152
unclassified-kra_SRR26417132_.hist	histogram	genome-skim	3.13	1069359786	0.43	31.02	0.0094	152
unclassified-kra_SRR26416979_.hist	histogram	genome-skim	1.60	932189888	0.49	29.31	0.0059	154
unclassified-kra_SRR26417284_.hist	histogram	genome-skim	2.71	1067464089	0.45	28.44	0.0054	154
unclassified-kra_SRR26417065_.hist	histogram	genome-skim	3.10	1123934033	0.41	27.69	0.0065	154
unclassified-kra_SRR26417123_.hist	histogram	genome-skim	2.22	963085907	0.49	28.05	0.0064	151
unclassified-kra_SRR26417352_.hist	histogram	genome-skim	2.14	926842289	0.50	30.08	0.0069	151
unclassified-kra_SRR26416970_.hist	histogram	genome-skim	1.70	944992561	0.50	28.90	0.0063	152
unclassified-kra_SRR26416968_.hist	histogram	genome-skim	1.00	997653194	0.51	27.86	0.0049	149
unclassified-kra_SRR26416983_.hist	histogram	genome-skim	1.61	924769840	0.50	27.34	0.0055	153
unclassified-kra_SRR26417298_.hist	histogram	genome-skim	1.38	922932042	0.52	27.75	0.0062	153
unclassified-kra_SRR26416996_.hist	histogram	genome-skim	1.38	931122511	0.51	30.75	0.0062	154
unclassified-kra_SRR26417451_.hist	histogram	genome-skim	1.68	967431199	0.50	26.60	0.0050	152
unclassified-kra_SRR26417306_.hist	histogram	genome-skim	2.07	900459185	0.51	28.43	0.0059	153
unclassified-kra_SRR26417058_.hist	histogram	genome-skim	1.63	974124578	0.51	24.93	0.0047	158
unclassified-kra_SRR26417461_.hist	histogram	genome-skim	2.89	1000746659	0.47	30.30	0.0083	152
unclassified-kra_SRR26417193_.hist	histogram	genome-skim	1.97	945480456	0.51	28.36	0.0054	156
unclassified-kra_SRR26416940_.hist	histogram	genome-skim	1.26	888626842	0.47	30.24	0.0072	150
unclassified-kra_SRR26417118_.hist	histogram	genome-skim	1.63	959698161	0.50	28.31	0.0055	152
unclassified-kra_SRR26417179_.hist	histogram	genome-skim	1.96	880437218	0.49	29.39	0.0076	155
unclassified-kra_SRR26417173_.hist	histogram	genome-skim	1.59	861399571	0.51	31.20	0.0070	154
unclassified-kra_SRR26417109_.hist	histogram	genome-skim	2.74	964990434	0.51	29.52	0.0071	152
unclassified-kra_SRR26417242_.hist	histogram	genome-skim	2.15	919902203	0.52	29.70	0.0065	153
unclassified-kra_SRR26417308_.hist	histogram	genome-skim	1.01	899694583	0.55	27.86	0.0066	149
unclassified-kra_SRR26417383_.hist	histogram	genome-skim	1.11	975577179	0.51	27.68	0.0061	147
unclassified-kra_SRR26417446_.hist	histogram	genome-skim	1.34	903298633	0.48	30.63	0.0066	152
unclassified-kra_SRR26417101_.hist	histogram	genome-skim	1.07	940107334	0.51	29.51	0.0061	151
unclassified-kra_SRR26417133_.hist	histogram	genome-skim	1.55	913463551	0.52	27.69	0.0074	152
unclassified-kra_SRR26416953_.hist	histogram	genome-skim	0.95	952760559	0.51	31.32	0.0072	152
unclassified-kra_SRR26417165_.hist	histogram	genome-skim	0.94	441479442	0.81	32.52	0.0087	142
unclassified-kra_SRR26417063_.hist	histogram	genome-skim	2.68	977977707	0.47	30.49	0.0071	152
unclassified-kra_SRR26416991_.hist	histogram	genome-skim	2.05	915391730	0.50	30.80	0.0064	154
unclassified-kra_SRR26417323_.hist	histogram	genome-skim	1.25	1037818738	0.50	24.94	0.0054	150
unclassified-kra_SRR26417339_.hist	histogram	genome-skim	2.07	895079448	0.52	30.06	0.0083	150
unclassified-kra_SRR26417275_.hist	histogram	genome-skim	2.07	903303373	0.52	30.72	0.0070	154
unclassified-kra_SRR26417156_.hist	histogram	genome-skim	1.58	966243043	0.49	28.79	0.0058	152
unclassified-kra_SRR26417348_.hist	histogram	genome-skim	2.35	936486273	0.48	35.77	0.0082	152
unclassified-kra_SRR26416971_.hist	histogram	genome-skim	1.75	965338050	0.50	27.58	0.0060	152
unclassified-kra_SRR26417024_.hist	histogram	genome-skim	2.69	998158107	0.42	38.75	0.0095	152
unclassified-kra_SRR26416966_.hist	histogram	genome-skim	0.81	630268042	0.75	30.00	0.0081	146
unclassified-kra_SRR26417044_.hist	histogram	genome-skim	1.21	931226936	0.52	29.27	0.0069	153
unclassified-kra_SRR26417264_.hist	histogram	genome-skim	2.09	918373785	0.50	28.62	0.0057	154
unclassified-kra_SRR26417258_.hist	histogram	genome-skim	2.63	1125765448	0.45	27.36	0.0057	151
unclassified-kra_SRR26417459_.hist	histogram	genome-skim	2.24	912526556	0.52	29.90	0.0080	151
unclassified-kra_SRR26417197_.hist	histogram	genome-skim	1.33	984818552	0.44	74.36	0.0063	148
unclassified-kra_SRR26417692_.hist	histogram	genome-skim	1.59	948393812	0.51	29.93	0.0072	152
unclassified-kra_SRR26417290_.hist	histogram	genome-skim	2.11	891335737	0.52	29.37	0.0070	152
unclassified-kra_SRR26417450_.hist	histogram	genome-skim	2.13	978481485	0.47	26.59	0.0046	156
unclassified-kra_SRR26417231_.hist	histogram	genome-skim	3.22	1125871172	0.41	29.29	0.0079	153
unclassified-kra_SRR26417062_.hist	histogram	genome-skim	2.24	922463983	0.50	30.05	0.0075	150
unclassified-kra_SRR26417681_.hist	histogram	genome-skim	1.14	955456903	0.52	27.63	0.0060	148
unclassified-kra_SRR26417048_.hist	histogram	genome-skim	1.38	867294454	0.53	29.56	0.0057	154
unclassified-kra_SRR26417278_.hist	histogram	genome-skim	1.54	961119183	0.49	24.88	0.0045	156
unclassified-kra_SRR26417237_.hist	histogram	genome-skim	2.04	951182205	0.51	28.97	0.0067	150
unclassified-kra_SRR26417134_.hist	histogram	genome-skim	2.28	968877102	0.50	30.00	0.0075	152
unclassified-kra_SRR26417310_.hist	histogram	genome-skim	1.08	457047554	0.77	28.63	0.0086	146
unclassified-kra_SRR26417212_.hist	histogram	genome-skim	1.55	961556477	0.52	27.79	0.0062	152
unclassified-kra_SRR26417251_.hist	histogram	genome-skim	1.15	854863014	0.48	27.37	0.0056	147
unclassified-kra_SRR26417346_.hist	histogram	genome-skim	2.29	929630940	0.49	32.62	0.0081	151
unclassified-kra_SRR26417619_.hist	histogram	genome-skim	2.45	1100078584	0.42	26.15	0.0042	157
unclassified-kra_SRR26417338_.hist	histogram	genome-skim	0.95	486145448	0.74	33.78	0.0094	150
unclassified-kra_SRR26417452_.hist	histogram	genome-skim	4.36	1072833201	0.42	28.89	0.0070	152
unclassified-kra_SRR26417302_.hist	histogram	genome-skim	2.21	882048858	0.53	29.55	0.0095	152
unclassified-kra_SRR26417108_.hist	histogram	genome-skim	2.33	942693964	0.49	29.80	0.0077	149
unclassified-kra_SRR26417366_.hist	histogram	genome-skim	2.23	961298208	0.51	30.76	0.0078	153
unclassified-kra_SRR26417599_.hist	histogram	genome-skim	1.35	896461251	0.53	27.41	0.0056	155
unclassified-kra_SRR26417321_.hist	histogram	genome-skim	1.13	899267483	0.50	32.14	0.0067	150
unclassified-kra_SRR26417238_.hist	histogram	genome-skim	2.50	1020342374	0.47	29.19	0.0066	153
unclassified-kra_SRR26417378_.hist	histogram	genome-skim	1.74	923478402	0.51	30.91	0.0085	152
unclassified-kra_SRR26417269_.hist	histogram	genome-skim	1.58	912578590	0.50	30.80	0.0069	152
unclassified-kra_SRR26417158_.hist	histogram	genome-skim	1.28	1013777258	0.43	32.09	0.0051	163
unclassified-kra_SRR26416961_.hist	histogram	genome-skim	1.42	929231113	0.54	29.63	0.0071	152
unclassified-kra_SRR26417221_.hist	histogram	genome-skim	2.76	1022069357	0.46	28.64	0.0063	153
unclassified-kra_SRR26417340_.hist	histogram	genome-skim	2.59	970556998	0.50	30.27	0.0094	150
unclassified-kra_SRR26417039_.hist	histogram	genome-skim	1.21	855051050	0.53	31.90	0.0079	152
unclassified-kra_SRR26417403_.hist	histogram	genome-skim	1.85	923643894	0.53	26.61	0.0045	154
unclassified-kra_SRR26417268_.hist	histogram	genome-skim	1.39	907981567	0.52	26.51	0.0058	153
unclassified-kra_SRR26416999_.hist	histogram	genome-skim	1.44	978666360	0.51	29.25	0.0059	153
unclassified-kra_SRR26417019_.hist	histogram	genome-skim	3.35	1109045527	0.42	27.65	0.0052	155
unclassified-kra_SRR26417030_.hist	histogram	genome-skim	2.29	948810992	0.51	29.16	0.0080	154
unclassified-kra_SRR26417198_.hist	histogram	genome-skim	1.38	957834042	0.51	28.03	0.0049	152
unclassified-kra_SRR26417085_.hist	histogram	genome-skim	1.18	895304879	0.55	28.52	0.0052	156
unclassified-kra_SRR26416969_.hist	histogram	genome-skim	0.98	464452638	0.79	33.46	0.0080	150
unclassified-kra_SRR26417326_.hist	histogram	genome-skim	0.66	1077241557	0.47	29.95	0.0064	155
unclassified-kra_SRR26416950_.hist	histogram	genome-skim	0.91	949186017	0.47	30.69	0.0071	149
unclassified-kra_SRR26416938_.hist	histogram	genome-skim	1.91	921295410	0.51	29.06	0.0061	154
unclassified-kra_SRR26417071_.hist	histogram	genome-skim	2.76	1048061784	0.45	28.05	0.0059	153
unclassified-kra_SRR26417372_.hist	histogram	genome-skim	1.04	940983239	0.53	28.98	0.0062	149
unclassified-kra_SRR26417207_.hist	histogram	genome-skim	2.10	941072407	0.51	28.75	0.0061	154
unclassified-kra_SRR26417115_.hist	histogram	genome-skim	1.57	943697910	0.51	30.88	0.0076	150
unclassified-kra_SRR26417318_.hist	histogram	genome-skim	1.55	998138107	0.47	30.13	0.0065	155
unclassified-kra_SRR26417213_.hist	histogram	genome-skim	3.02	1120992846	0.42	30.29	0.0080	154
unclassified-kra_SRR26417277_.hist	histogram	genome-skim	2.18	961360890	0.49	27.61	0.0064	152
unclassified-kra_SRR26417300_.hist	histogram	genome-skim	3.03	1118413221	0.41	27.85	0.0060	156
unclassified-kra_SRR26417390_.hist	histogram	genome-skim	2.47	1006617675	0.48	28.69	0.0070	151
unclassified-kra_SRR26417301_.hist	histogram	genome-skim	2.25	936889249	0.49	30.32	0.0071	152
unclassified-kra_SRR26417349_.hist	histogram	genome-skim	0.98	948017772	0.53	30.04	0.0064	152
unclassified-kra_SRR26417011_.hist	histogram	genome-skim	1.80	971425212	0.50	28.61	0.0080	151
